H,K,L,2THETA,D-VALUE,MULT,INTENSITY
4,-5,9,34.23,0.5097,2,0.6
5,-4,-9,34.23,0.5097,2,0.6
4,-5,-9,34.23,0.5097,2,0.6
5,-4,9,34.23,0.5097,2,0.6
5,-1,-9,34.23,0.5097,2,0.6
1,-5,-9,34.23,0.5097,2,0.6
1,-5,9,34.23,0.5097,2,0.6
5,-1,9,34.23,0.5097,2,0.6
4,1,-9,34.23,0.5097,2,0.6
1,4,-9,34.23,0.5097,2,0.6
4,1,9,34.23,0.5097,2,0.6
1,4,9,34.23,0.5097,2,0.6
4,0,16,34.44,0.5067,2,0.7
4,-3,19,34.57,0.5049,2,0.2
3,-4,19,34.57,0.5049,2,0.2
1,3,19,34.57,0.5049,2,0.2
2,-5,13,34.72,0.5027,2,0.6
5,-2,13,34.72,0.5027,2,0.6
3,2,13,34.72,0.5027,2,0.6
